Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D82,LED,LED_0402_1005Metric,179.583085,-28.310585,-45,top
D83,LED,LED_0402_1005Metric,177.833085,-28.310585,-45,top
D84,LED,LED_0402_1005Metric,176.083085,-28.310585,-45,top
D85,LED,LED_0402_1005Metric,211.083085,-30.465585,-45,top
D86,LED,LED_0402_1005Metric,209.333085,-30.465585,-45,top
D87,LED,LED_0402_1005Metric,207.583085,-30.465585,-45,top
D88,LED,LED_0402_1005Metric,205.833085,-30.465585,-45,top
D89,LED,LED_0402_1005Metric,204.083085,-30.465585,-45,top
D90,LED,LED_0402_1005Metric,202.333085,-30.465585,-45,top
D91,LED,LED_0402_1005Metric,200.583085,-30.465585,-45,top
D92,LED,LED_0402_1005Metric,198.833085,-30.465585,-45,top
D93,LED,LED_0402_1005Metric,197.083085,-30.465585,-45,top
D94,LED,LED_0402_1005Metric,195.333085,-30.465585,-45,top
D95,LED,LED_0402_1005Metric,193.583085,-30.465585,-45,top
D96,LED,LED_0402_1005Metric,191.833085,-30.465585,-45,top
D97,LED,LED_0402_1005Metric,190.083085,-30.465585,-45,top
D98,LED,LED_0402_1005Metric,188.333085,-30.465585,-45,top
D99,LED,LED_0402_1005Metric,186.583085,-30.465585,-45,top
D100,LED,LED_0402_1005Metric,184.833085,-30.465585,-45,top
D101,LED,LED_0402_1005Metric,183.083085,-30.465585,-45,top
D102,LED,LED_0402_1005Metric,181.333085,-30.465585,-45,top
D103,LED,LED_0402_1005Metric,179.583085,-30.465585,-45,top
D104,LED,LED_0402_1005Metric,177.833085,-30.465585,-45,top
D105,LED,LED_0402_1005Metric,176.083085,-30.465585,-45,top
D106,LED,LED_0402_1005Metric,211.083085,-32.785585,-45,top
D107,LED,LED_0402_1005Metric,209.333085,-32.785585,-45,top
D108,LED,LED_0402_1005Metric,207.583085,-32.785585,-45,top
D109,LED,LED_0402_1005Metric,205.833085,-32.785585,-45,top
D110,LED,LED_0402_1005Metric,204.083085,-32.785585,-45,top
D111,LED,LED_0402_1005Metric,202.333085,-32.785585,-45,top
D112,LED,LED_0402_1005Metric,200.583085,-32.785585,-45,top
D113,LED,LED_0402_1005Metric,198.833085,-32.785585,-45,top
D114,LED,LED_0402_1005Metric,197.083085,-32.785585,-45,top
D115,LED,LED_0402_1005Metric,195.333085,-32.785585,-45,top
D116,LED,LED_0402_1005Metric,193.583085,-32.785585,-45,top
D117,LED,LED_0402_1005Metric,191.833085,-32.785585,-45,top
D118,LED,LED_0402_1005Metric,190.083085,-32.785585,-45,top
D119,LED,LED_0402_1005Metric,188.333085,-32.785585,-45,top
D120,LED,LED_0402_1005Metric,186.583085,-32.785585,-45,top
D121,LED,LED_0402_1005Metric,184.833085,-32.785585,-45,top
D122,LED,LED_0402_1005Metric,183.083085,-32.785585,-45,top
D123,LED,LED_0402_1005Metric,181.333085,-32.785585,-45,top
D124,LED,LED_0402_1005Metric,179.583085,-32.785585,-45,top
D125,LED,LED_0402_1005Metric,177.833085,-32.785585,-45,top
D126,LED,LED_0402_1005Metric,176.083085,-32.785585,-45,top
D127,LED,LED_0402_1005Metric,211.083085,-35.120585,-45,top
D128,LED,LED_0402_1005Metric,209.333085,-35.120585,-45,top
D129,LED,LED_0402_1005Metric,207.583085,-35.120585,-45,top
D130,LED,LED_0402_1005Metric,205.833085,-35.120585,-45,top
D131,LED,LED_0402_1005Metric,204.083085,-35.120585,-45,top
D132,LED,LED_0402_1005Metric,202.333085,-35.120585,-45,top
D133,LED,LED_0402_1005Metric,200.583085,-35.120585,-45,top
D134,LED,LED_0402_1005Metric,198.833085,-35.120585,-45,top
D135,LED,LED_0402_1005Metric,197.083085,-35.120585,-45,top
D136,LED,LED_0402_1005Metric,195.333085,-35.120585,-45,top
D137,LED,LED_0402_1005Metric,193.583085,-35.120585,-45,top
D138,LED,LED_0402_1005Metric,191.833085,-35.120585,-45,top
D139,LED,LED_0402_1005Metric,190.083085,-35.120585,-45,top
D140,LED,LED_0402_1005Metric,188.333085,-35.120585,-45,top
D141,LED,LED_0402_1005Metric,186.583085,-35.120585,-45,top
D142,LED,LED_0402_1005Metric,184.833085,-35.120585,-45,top
D143,LED,LED_0402_1005Metric,183.083085,-35.120585,-45,top
D144,LED,LED_0402_1005Metric,181.333085,-35.120585,-45,top
D145,LED,LED_0402_1005Metric,179.583085,-35.120585,-45,top
D146,LED,LED_0402_1005Metric,177.833085,-35.120585,-45,top
D147,LED,LED_0402_1005Metric,176.083085,-35.120585,-45,top
D148,LED,LED_0402_1005Metric,211.083085,-37.310585,-45,top
D149,LED,LED_0402_1005Metric,209.333085,-37.310585,-45,top
D150,LED,LED_0402_1005Metric,207.583085,-37.310585,-45,top
D151,LED,LED_0402_1005Metric,205.833085,-37.310585,-45,top
D152,LED,LED_0402_1005Metric,204.083085,-37.310585,-45,top
D153,LED,LED_0402_1005Metric,202.333085,-37.310585,-45,top
D154,LED,LED_0402_1005Metric,200.583085,-37.310585,-45,top
D155,LED,LED_0402_1005Metric,198.833085,-37.310585,-45,top
D156,LED,LED_0402_1005Metric,197.083085,-37.310585,-45,top
D157,LED,LED_0402_1005Metric,195.333085,-37.310585,-45,top
D158,LED,LED_0402_1005Metric,193.583085,-37.310585,-45,top
D159,LED,LED_0402_1005Metric,191.833085,-37.310585,-45,top
D160,LED,LED_0402_1005Metric,190.083085,-37.310585,-45,top
D161,LED,LED_0402_1005Metric,188.333085,-37.310585,-45,top
D162,LED,LED_0402_1005Metric,186.583085,-37.310585,-45,top
D163,LED,LED_0402_1005Metric,184.833085,-37.310585,-45,top
D164,LED,LED_0402_1005Metric,183.083085,-37.310585,-45,top
D165,LED,LED_0402_1005Metric,181.333085,-37.310585,-45,top
D166,LED,LED_0402_1005Metric,179.583085,-37.310585,-45,top
D167,LED,LED_0402_1005Metric,177.833085,-37.310585,-45,top
D168,LED,LED_0402_1005Metric,176.083085,-37.310585,-45,top
D169,LED,LED_0402_1005Metric,211.083085,-39.560585,-45,top
D170,LED,LED_0402_1005Metric,209.333085,-39.560585,-45,top
D171,LED,LED_0402_1005Metric,207.583085,-39.560585,-45,top
D172,LED,LED_0402_1005Metric,205.833085,-39.560585,-45,top
D173,LED,LED_0402_1005Metric,204.083085,-39.560585,-45,top
D174,LED,LED_0402_1005Metric,202.333085,-39.560585,-45,top
D175,LED,LED_0402_1005Metric,200.583085,-39.560585,-45,top
D176,LED,LED_0402_1005Metric,198.833085,-39.560585,-45,top
D177,LED,LED_0402_1005Metric,197.083085,-39.560585,-45,top
D178,LED,LED_0402_1005Metric,195.333085,-39.560585,-45,top
D179,LED,LED_0402_1005Metric,193.583085,-39.560585,-45,top
